goal_dist,goal_sin,goal_cos,self_vx,self_vy,d1_dist,d1_sin,d1_cos,d1_vx,d1_vy,d2_dist,d2_sin,d2_cos,d2_vx,d2_vy,action_left,action_right,action_shoot
1.405,-0.353,0.936,0.286,0.089,0.124,-0.99,-0.144,-0.199,-0.025,0.775,-0.393,0.92,-0.293,-0.051,15.0,15.0,0
1.39,-0.34,0.94,0.288,0.084,0.125,-0.98,-0.201,-0.191,-0.006,0.759,-0.379,0.925,-0.298,-0.006,15.0,15.0,0
1.373,-0.322,0.947,0.29,0.077,0.123,-0.964,-0.267,-0.196,0.048,0.742,-0.363,0.932,-0.296,-0.031,15.0,15.0,0
1.355,-0.327,0.945,0.29,0.077,0.111,-0.923,-0.386,-0.221,0.255,0.723,-0.368,0.93,-0.295,-0.032,15.0,15.0,0
1.337,-0.346,0.938,0.289,0.081,0.102,-0.849,-0.529,-0.199,0.117,0.705,-0.387,0.922,-0.291,-0.043,15.0,15.0,0
1.32,-0.315,0.949,0.292,0.07,0.102,-0.809,-0.588,-0.173,0.072,0.688,-0.357,0.934,-0.293,-0.019,15.0,15.0,0
1.302,-0.319,0.948,0.292,0.07,0.102,-0.742,-0.671,-0.139,0.074,0.669,-0.362,0.932,-0.294,0.005,15.0,15.0,0
1.284,-0.324,0.946,0.292,0.07,0.102,-0.678,-0.735,-0.111,0.073,0.651,-0.368,0.93,-0.294,-0.024,15.0,15.0,0
1.266,-0.329,0.944,0.292,0.07,0.102,-0.62,-0.785,-0.091,0.071,0.632,-0.372,0.928,-0.291,-0.018,15.0,15.0,0
1.248,-0.333,0.943,0.292,0.07,0.102,-0.567,-0.824,-0.07,0.062,0.614,-0.378,0.926,-0.291,-0.035,15.0,15.0,0
1.23,-0.338,0.941,0.292,0.07,0.102,-0.523,-0.852,-0.055,0.059,0.596,-0.382,0.924,-0.287,-0.004,15.0,15.0,0
1.211,-0.343,0.939,0.292,0.07,0.102,-0.488,-0.873,-0.041,0.043,0.578,-0.389,0.921,-0.288,0.004,15.0,15.0,0
1.193,-0.349,0.937,0.292,0.07,0.102,-0.459,-0.889,-0.03,0.034,0.56,-0.395,0.919,-0.289,-0.016,15.0,15.0,0
1.175,-0.353,0.936,0.292,0.07,0.102,-0.435,-0.9,-0.026,0.031,0.542,-0.4,0.916,-0.288,-0.02,15.0,15.0,0
1.157,-0.357,0.934,0.292,0.07,0.102,-0.414,-0.91,-0.029,0.038,0.524,-0.404,0.915,-0.285,-0.013,15.0,15.0,0
1.14,-0.362,0.932,0.292,0.069,0.102,-0.382,-0.924,-0.039,0.06,0.506,-0.411,0.912,-0.283,0.012,15.0,15.0,0
1.122,-0.365,0.931,0.292,0.069,0.102,-0.329,-0.944,-0.063,0.096,0.488,-0.415,0.91,-0.282,-0.0,15.0,15.0,0
1.103,-0.283,0.959,0.297,0.041,0.102,-0.345,-0.938,-0.052,0.114,0.47,-0.337,0.942,-0.29,0.022,19.16,10.84,0
1.084,-0.104,0.995,0.3,-0.015,0.102,-0.435,-0.9,-0.052,0.144,0.45,-0.162,0.987,-0.299,0.03,19.86,10.14,0
1.063,0.019,1.0,0.296,-0.051,0.102,-0.461,-0.887,-0.018,0.152,0.43,-0.044,0.999,-0.296,0.055,19.98,10.02,0
1.043,0.195,0.981,0.282,-0.102,0.102,-0.529,-0.849,-0.014,0.172,0.409,0.132,0.991,-0.282,0.103,20.0,10.0,0
1.024,0.378,0.926,0.258,-0.153,0.102,-0.596,-0.803,0.009,0.189,0.39,0.323,0.946,-0.258,0.153,20.0,10.0,0
1.006,0.507,0.862,0.234,-0.187,0.102,-0.623,-0.782,0.019,0.19,0.371,0.462,0.887,-0.235,0.187,20.0,10.0,0
0.989,0.598,0.801,0.215,-0.21,0.102,-0.616,-0.788,0.018,0.171,0.355,0.57,0.822,-0.215,0.209,15.84,14.16,0
0.974,0.625,0.781,0.21,-0.214,0.102,-0.55,-0.835,0.03,0.148,0.339,0.613,0.79,-0.21,0.214,15.14,14.86,0
0.959,0.637,0.771,0.21,-0.215,0.102,-0.48,-0.877,0.035,0.12,0.324,0.644,0.765,-0.21,0.215,15.02,14.98,0
0.944,0.647,0.762,0.209,-0.215,0.102,-0.418,-0.909,0.036,0.096,0.31,0.674,0.738,-0.209,0.215,15.0,15.0,0
0.93,0.657,0.754,0.209,-0.215,0.102,-0.365,-0.931,0.034,0.076,0.296,0.706,0.708,-0.209,0.215,15.0,15.0,0
0.916,0.668,0.744,0.209,-0.215,0.102,-0.322,-0.947,0.029,0.06,0.283,0.739,0.673,-0.209,0.215,15.0,15.0,0
0.901,0.678,0.735,0.209,-0.215,0.102,-0.286,-0.958,0.025,0.047,0.27,0.774,0.634,-0.209,0.215,15.0,15.0,0
0.887,0.668,0.744,0.215,-0.209,0.102,-0.232,-0.973,0.017,0.03,0.258,0.792,0.611,-0.216,0.208,12.05,17.95,0
0.872,0.536,0.844,0.249,-0.167,0.102,-0.047,-0.999,-0.0,-0.015,0.245,0.711,0.704,-0.269,0.149,10.34,19.66,0
0.857,0.424,0.906,0.071,-0.034,0.102,0.053,-0.999,0.069,-0.127,0.23,0.638,0.77,-0.106,-0.013,-1.01,8.87,0
0.848,0.358,0.934,0.012,-0.005,0.102,0.054,-0.999,0.031,-0.133,0.219,0.585,0.811,-0.048,-0.069,-4.33,5.65,0
0.843,0.272,0.962,0.002,-0.001,0.102,0.074,-0.997,0.016,-0.118,0.211,0.499,0.867,-0.029,-0.09,-4.89,5.11,0
0.841,0.124,0.992,0.0,-0.0,0.102,0.159,-0.987,0.009,-0.099,0.206,0.341,0.94,-0.016,-0.103,-4.98,5.02,0
0.838,-0.055,0.999,0.0,0.0,0.102,0.278,-0.961,0.017,-0.081,0.202,0.138,0.99,-0.002,-0.11,-5.0,5.0,0
0.836,-0.239,0.971,0.0,0.0,0.102,0.41,-0.912,0.014,-0.067,0.199,-0.081,0.997,0.012,-0.109,-5.0,5.0,0
0.835,-0.447,0.894,0.054,0.026,0.102,0.571,-0.821,-0.047,-0.081,0.198,-0.319,0.948,-0.05,-0.054,-2.0,8.0,0
0.826,-0.558,0.83,0.218,0.141,0.102,0.605,-0.796,-0.022,-0.168,0.188,-0.455,0.891,-0.218,-0.146,12.15,13.83,0
0.812,-0.588,0.809,0.242,0.165,0.102,0.541,-0.841,0.002,-0.158,0.173,-0.518,0.855,-0.242,-0.166,14.52,14.8,0
0.796,-0.602,0.799,0.246,0.169,0.102,0.468,-0.884,0.013,-0.128,0.157,-0.574,0.819,-0.246,-0.169,14.92,14.97,0
0.781,-0.614,0.789,0.247,0.17,0.102,0.404,-0.915,0.018,-0.102,0.142,-0.636,0.771,-0.247,-0.17,14.99,14.99,0
0.766,-0.638,0.77,0.245,0.174,0.102,0.358,-0.934,0.022,-0.091,0.128,-0.719,0.695,-0.245,-0.174,15.0,15.0,0
0.753,-0.653,0.757,0.244,0.175,0.102,0.313,-0.95,0.023,-0.074,0.123,-0.798,0.603,-0.159,-0.225,15.0,15.0,0
0.739,-0.666,0.746,0.244,0.175,0.102,0.272,-0.962,0.019,-0.058,0.118,-0.874,0.486,-0.173,-0.211,15.0,15.0,0
0.725,-0.679,0.734,0.244,0.175,0.102,0.238,-0.971,0.024,-0.046,0.114,-0.936,0.353,-0.181,-0.199,15.0,15.0,0
0.711,-0.692,0.722,0.244,0.175,0.102,0.212,-0.977,0.013,-0.036,0.112,-0.978,0.209,-0.188,-0.188,15.0,15.0,0
0.698,-0.706,0.708,0.244,0.175,0.105,0.209,-0.978,-0.083,-0.035,0.115,-0.996,0.09,-0.145,-0.18,16.8,13.2,0
0.685,-0.614,0.789,0.266,0.139,0.111,0.085,-0.996,-0.117,0.011,0.117,-0.994,0.11,-0.197,-0.141,19.46,10.54,0
0.67,-0.48,0.877,0.286,0.091,0.116,-0.054,-0.999,-0.122,0.055,0.118,-0.986,0.168,-0.214,-0.104,19.91,10.09,0
0.656,-0.367,0.93,0.296,0.051,0.119,-0.981,0.195,-0.241,-0.068,0.119,-0.143,-0.99,-0.134,0.089,19.98,10.02,0
0.641,-0.261,0.965,0.3,0.015,0.118,-0.98,0.201,-0.273,-0.029,0.123,-0.199,-0.98,-0.166,0.115,20.0,10.0,0
0.624,-0.097,0.995,0.298,-0.037,0.115,-0.973,0.232,-0.305,0.033,0.131,-0.29,-0.957,-0.172,0.159,20.0,10.0,0
0.606,0.122,0.993,0.282,-0.101,0.112,-0.964,0.267,-0.344,0.096,0.139,-0.413,-0.911,-0.14,0.219,20.0,10.0,0
0.586,0.295,0.955,0.26,-0.149,0.108,-0.975,0.221,-0.32,0.215,0.147,-0.484,-0.875,-0.084,0.275,20.0,10.0,0
0.568,0.518,0.855,0.219,-0.205,0.103,-0.972,0.236,-0.248,0.217,0.151,-0.585,-0.811,0.003,0.284,20.0,10.0,0
0.553,0.705,0.709,0.169,-0.248,0.097,-0.959,0.284,-0.124,0.244,0.153,-0.665,-0.747,0.044,0.302,20.0,10.0,0
0.541,0.814,0.58,0.106,-0.215,0.092,-0.965,0.261,-0.105,0.21,0.155,-0.676,-0.736,0.121,0.25,13.05,10.95,0
0.529,0.834,0.551,0.017,-0.037,0.096,-0.988,0.153,-0.018,0.05,0.153,-0.643,-0.766,0.298,0.059,2.19,1.84,0
0.51,0.834,0.551,0.003,-0.006,0.112,-0.999,0.053,0.005,-0.053,0.152,-0.63,-0.777,0.287,0.098,0.37,0.31,0
0.499,0.82,0.572,0.0,-0.001,0.123,-1.0,0.006,-0.012,-0.056,0.146,-0.587,-0.81,0.298,-0.003,0.06,0.05,0
0.496,0.82,0.573,0.0,-0.0,0.128,-1.0,0.024,-0.006,-0.073,0.129,-0.551,-0.834,0.341,-0.068,0.01,0.01,0
0.49,0.808,0.589,0.0,-0.0,0.124,-0.51,-0.86,0.154,0.021,0.134,-1.0,-0.008,-0.016,-0.02,0.0,0.0,0
0.481,0.781,0.625,0.0,-0.0,0.118,-0.463,-0.886,0.26,-0.082,0.143,-0.996,-0.084,-0.029,-0.022,0.0,0.0,0
0.478,0.776,0.631,0.0,-0.0,0.102,-0.451,-0.893,0.274,-0.151,0.148,-0.995,-0.101,-0.009,-0.009,0.0,0.0,0
0.469,0.813,0.583,0.0,-0.0,0.102,-0.481,-0.877,0.175,-0.001,0.152,-0.996,-0.085,0.073,0.036,0.0,0.0,0
0.456,0.81,0.586,0.0,-0.0,0.102,-0.527,-0.85,0.127,-0.131,0.157,-0.994,-0.112,0.121,0.029,0.0,0.0,0
0.439,0.806,0.592,0.0,-0.0,0.102,-0.597,-0.802,0.242,-0.143,0.166,-0.991,-0.137,0.153,0.013,0.0,0.0,0
0.42,0.802,0.598,0.0,-0.0,0.102,-0.666,-0.746,0.241,-0.12,0.174,-0.988,-0.152,0.187,-0.014,0.0,0.0,0
0.402,0.797,0.604,0.0,-0.0,0.102,-0.718,-0.696,0.236,-0.098,0.179,-0.989,-0.149,0.216,-0.044,0.0,0.0,0
0.386,0.792,0.61,0.0,-0.0,0.102,-0.757,-0.654,0.23,-0.08,0.181,-0.992,-0.129,0.29,-0.09,0.0,0.0,0
0.371,0.788,0.616,0.0,-0.0,0.102,-0.786,-0.618,0.222,-0.065,0.179,-0.997,-0.083,0.314,-0.124,0.0,0.0,0
0.356,0.783,0.623,0.0,-0.0,0.102,-0.808,-0.589,0.214,-0.053,0.177,-1.0,-0.027,0.314,-0.139,0.0,0.0,0
0.343,0.777,0.629,0.0,-0.0,0.102,-0.826,-0.564,0.206,-0.043,0.176,-0.999,0.035,0.31,-0.15,0.0,0.0,0
0.33,0.772,0.636,0.0,-0.0,0.102,-0.839,-0.544,0.198,-0.035,0.176,-0.995,0.103,0.305,-0.161,0.0,0.0,0
0.318,0.766,0.642,0.0,-0.0,0.102,-0.85,-0.527,0.191,-0.025,0.176,-0.985,0.174,0.301,-0.171,0.0,0.0,0
0.306,0.76,0.649,0.0,-0.0,0.102,-0.856,-0.517,0.187,-0.017,0.178,-0.969,0.246,0.296,-0.18,0.0,0.0,0
0.294,0.754,0.657,0.0,-0.0,0.102,-0.861,-0.509,0.18,-0.013,0.181,-0.948,0.317,0.291,-0.189,0.0,0.0,0
0.283,0.748,0.664,0.0,-0.0,0.102,-0.865,-0.502,0.172,-0.011,0.185,-0.922,0.387,0.285,-0.197,0.0,0.0,0
0.273,0.74,0.673,0.0,-0.0,0.102,-0.867,-0.498,0.166,-0.01,0.191,-0.892,0.451,0.28,-0.205,0.0,0.0,0
